City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,santa fe,-31.6333,-60.7,35.01,37,100,1.79,AR,1678220180
186,lalibela,12.0333,39.0333,18.08,38,37,3.46,ET,1678220239
187,tuktoyaktuk,69.4541,-133.0374,-24.39,87,15,6.04,CA,1678220241
188,edson,53.5835,-116.4356,-11.94,67,0,3.09,CA,1678220152
189,urubicha,-15.3833,-62.95,30.46,59,96,2.33,BO,1678220244
190,esperance,-33.8667,121.9,17.49,66,100,2.48,AU,1678220245
191,gornyak,50.9942,81.4661,4.26,91,100,15.43,RU,1678220246
192,ambon,-3.6954,128.1814,25.69,15,40,2.57,ID,1678220248
193,gamba,-2.65,10.0,26.2,84,100,2.37,GA,1678220270
194,chodavaram,17.8333,82.95,22.91,58,83,0.42,IN,1678220271
195,manaure,11.7751,-72.4445,27.6,64,96,8.89,CO,1678220273
196,poum,-20.2333,164.0167,26.76,73,5,9.32,NC,1678220274
197,waki,34.0667,134.15,6.68,54,0,1.91,JP,1678220275
198,isangel,-19.55,169.2667,25.22,71,35,4.19,VU,1678220277
199,adre,13.4667,22.2,29.35,12,15,9.27,TD,1678220278
200,slave lake,55.2834,-114.769,-10.01,62,0,6.17,CA,1678220118
201,ulaangom,49.9811,92.0667,-12.06,92,100,1.11,MN,1678220280
202,san cristobal,7.7669,-72.225,26.74,46,100,1.53,VE,1678220086
203,srednekolymsk,67.45,153.6833,-37.79,99,93,2.18,RU,1678220283
204,tommot,58.9564,126.2925,-28.95,99,99,0.75,RU,1678220284
205,kaitangata,-46.2817,169.8464,14.88,77,98,1.91,NZ,1678220286
206,surt,31.2089,16.5887,18.16,62,96,6.24,LY,1678220287
207,port lincoln,-34.7333,135.8667,17.43,78,100,7.19,AU,1678220290
208,bitung,1.4451,125.1824,24.47,83,65,3.51,ID,1678220292
209,saint-francois,46.4154,3.9054,2.2,82,0,2.57,FR,1678220294
210,sinnamary,5.3833,-52.95,26.54,76,100,5.06,GF,1678220295
211,fort nelson,58.8053,-122.7002,-14.47,56,100,1.54,CA,1678220152
212,meulaboh,4.1363,96.1285,24.65,88,80,1.51,ID,1678220299
213,new norfolk,-42.7826,147.0587,9.4,78,95,1.34,AU,1678220300
214,upington,-28.4478,21.2561,26.21,25,0,4.63,ZA,1678220302
215,polewali,-3.4324,119.3435,24.02,89,66,1.16,ID,1678220303
216,pisco,-13.7,-76.2167,29.03,58,0,5.66,PE,1678220306
217,lorengau,-2.0226,147.2712,25.88,83,100,4.41,PG,1678220307
218,inta,66.0317,60.1659,-28.92,98,19,2.94,RU,1678220308
219,mitsamiouli,-11.3847,43.2844,27.38,72,100,4.43,KM,1678220310
220,margate,51.3813,1.3862,2.95,86,46,2.19,GB,1678220311
221,itoman,26.1247,127.6694,17.01,72,75,1.54,JP,1678220313
222,santa cruz del norte,23.1539,-81.9236,26.95,57,0,5.17,CU,1678220314
223,harper,4.375,-7.7169,27.26,82,76,3.44,LR,1678220316
224,bengkulu,-3.8004,102.2655,23.6,88,38,1.79,ID,1678220018
225,sarangani,5.4033,125.4636,27.05,78,20,3.51,PH,1678220318
226,aklavik,68.2191,-135.0107,-21.98,93,28,7.54,CA,1678220321
227,iqaluit,63.7506,-68.5145,-7.39,85,21,0.47,CA,1678220322
228,deputatskiy,69.3,139.9,-33.24,100,97,1.21,RU,1678220323
229,sao felix do xingu,-6.6447,-51.995,28.65,85,97,0.13,BR,1678220324
230,san antonio,29.4241,-98.4936,26.77,73,100,4.63,US,1678220326
231,luderitz,-26.6481,15.1594,16.51,90,0,4.01,NA,1678220327
232,beloha,-25.1667,45.05,22.92,91,100,5.73,MG,1678220328
233,matagami,49.7502,-77.6328,-8.88,93,100,6.83,CA,1678220330
234,laguna,38.421,-121.4238,13.36,53,40,3.09,US,1678220331
235,chaihe,44.7667,129.7,-1.02,82,11,2.19,CN,1678220332
236,opuwo,-18.0607,13.84,21.52,37,10,3.41,NA,1678220333
237,sasd,46.2552,18.1078,6.41,84,49,2.98,HU,1678220335
238,itarema,-2.9248,-39.9167,27.74,75,6,7.29,BR,1678220336
239,sitka,57.0531,-135.33,1.94,55,0,0.0,US,1678220337
240,bethel,41.3712,-73.414,7.93,44,0,6.69,US,1678220339
241,sulangan,11.1373,123.7228,25.71,84,6,8.5,PH,1678220340
242,aktash,50.3,87.7333,-7.34,86,100,3.7,RU,1678220341
